File Name, X-Value Mean, Y-Value Mean
595830_3348090.txt,595843.17375,3348106.5687499996
595830_3348120.txt,595853.2666666666,3348125.94
595860_3348000.txt,595875.56,3348008.6425
595860_3348060.txt,595871.275,3348074.1133333333
595860_3348090.txt,595874.4544444443,3348103.9844444445
595860_3348120.txt,595877.7759090909,3348133.0095454543
595890_3348000.txt,595908.6,3348018.46
595890_3348030.txt,595903.8783333333,3348040.7283333335
595890_3348060.txt,595907.8644444445,3348072.175555555
595890_3348090.txt,595908.908,3348110.6599999997
595890_3348120.txt,595910.1066666667,3348140.0233333334
595920_3348000.txt,595934.2072727274,3348019.7927272725
595920_3348030.txt,595943.21,3348046.4880000004
595920_3348060.txt,595942.642,3348070.406
595920_3348090.txt,595936.3766666666,3348093.153333334
595920_3348120.txt,595937.1566666666,3348134.721666666
595950_3348000.txt,595967.706,3348014.233
595950_3348030.txt,595962.1608333334,3348043.445
595950_3348060.txt,595963.01375,3348075.8737500003
595950_3348090.txt,595968.5091666667,3348106.170833334
595950_3348120.txt,595959.9433333335,3348137.406666667
595980_3348000.txt,595988.59,3348008.29
595980_3348030.txt,595992.8266666667,3348043.247777778
595980_3348060.txt,595996.3925000001,3348071.4566666665
595980_3348090.txt,596000.4258333334,3348106.7183333333
595980_3348120.txt,595990.2385714285,3348130.3414285714
596010_3348000.txt,596027.9007692308,3348013.6123076924
596010_3348030.txt,596021.3925,3348046.8062500004
596010_3348060.txt,596030.48,3348075.398888889
596010_3348090.txt,596020.5577777778,3348105.2022222225
596010_3348120.txt,596020.21,3348132.013333333
596040_3348000.txt,596054.1425,3348014.125
596040_3348030.txt,596058.875,3348034.82
596040_3348060.txt,596065.08,3348069.37
596040_3348090.txt,596051.7842857143,3348109.4800000004
596040_3348120.txt,596063.4575,3348130.0525
596070_3348000.txt,596095.52,3348025.52
596070_3348060.txt,596080.9524999999,3348080.4850000003
596070_3348090.txt,596080.5757142857,3348102.4699999997
596070_3348120.txt,596081.0783333334,3348141.331666667
596100_3348000.txt,596111.512,3348016.0379999997
596100_3348030.txt,596119.95,3348042.15
596100_3348060.txt,596121.2424999999,3348080.2150000003
596100_3348090.txt,596117.1316666667,3348099.498333333
596130_3348000.txt,596145.758,3348011.688
596130_3348030.txt,596148.98,3348048.983
596130_3348060.txt,596144.98,3348075.8245454547
596130_3348090.txt,596146.1666666666,3348105.0833333335
596160_3348000.txt,596174.0533333333,3348006.8433333333
596160_3348030.txt,596178.7581818182,3348049.0736363633
596160_3348060.txt,596174.1045454545,3348077.078181818
596160_3348090.txt,596174.2699999999,3348105.846
596190_3348000.txt,596204.88,3348008.8949999996
596190_3348030.txt,596206.9407142857,3348045.7178571434
596190_3348060.txt,596209.6000000001,3348071.105833333
596190_3348090.txt,596204.6515384616,3348101.6446153848
596220_3348000.txt,596237.265,3348012.1250000005
596220_3348030.txt,596236.5870588237,3348045.677058824
596220_3348060.txt,596231.0411111112,3348076.1555555556
596220_3348090.txt,596236.0833333334,3348107.21
596250_3348000.txt,596264.3382352941,3348016.5905882353
596250_3348030.txt,596265.9891666668,3348039.3041666667
596250_3348060.txt,596262.6488888889,3348075.483333333
596250_3348090.txt,596268.1140000002,3348107.007333333
596280_3348000.txt,596292.620625,3348017.28625
596280_3348030.txt,596298.8866666667,3348045.67375
596280_3348060.txt,596292.5282608696,3348074.3669565218
596280_3348090.txt,596298.2007142857,3348108.493571428
596310_3348000.txt,596328.5935294117,3348018.9952941174
596310_3348030.txt,596326.5676190477,3348047.232380952
596310_3348060.txt,596324.8356666666,3348073.063
596310_3348090.txt,596324.6547826087,3348102.6082608695
596340_3348000.txt,596357.2880555557,3348019.336388889
596340_3348030.txt,596352.9704761906,3348045.631904762
596340_3348060.txt,596353.8703333333,3348073.7356666666
596340_3348090.txt,596353.4804166667,3348104.9475000002
596370_3348000.txt,596384.6671875,3348014.6021875
596370_3348030.txt,596384.1274193549,3348047.1761290324
596370_3348060.txt,596384.314390244,3348078.7629268295
596370_3348090.txt,596384.7425,3348103.593333333
596400_3348000.txt,596417.5915384616,3348014.909615385
596400_3348030.txt,596415.3403125,3348043.541875
596400_3348060.txt,596414.6503225805,3348075.318387097
596400_3348090.txt,596415.0343589743,3348103.9925641026
596430_3348000.txt,596445.4404761905,3348012.9978571427
596430_3348030.txt,596447.4292592591,3348044.057407407
596430_3348060.txt,596442.1118518519,3348075.868888889
596430_3348090.txt,596445.9213043479,3348107.1278260876
596460_3348000.txt,596473.6635294119,3348016.5652941177
596460_3348030.txt,596474.5931818183,3348043.7945454554
596460_3348060.txt,596474.2540000001,3348076.1605
596460_3348090.txt,596475.8033333333,3348104.5475
596490_3348000.txt,596506.3464285715,3348013.9423809536
